Year,Level,Category,N,Reading,Grammar,Total
2025,0,Bilingual,160,54.062893,35.6375,89.3625
2025,0,Classroom Experience,6450,44.771496,29.97057,74.160775
2025,0,Outside Experience,434,51.570766,33.74424,84.958525
2025,1,Bilingual,760,50.121172,33.84106,83.146053
2025,1,Classroom Experience,19177,43.507375,25.301658,68.057621
2025,1,Outside Experience,1023,49.0499,30.547596,78.471163
2025,2,Bilingual,1220,47.49542,30.678275,77.081967
2025,2,Classroom Experience,19682,39.374497,20.250703,58.900315
2025,2,Outside Experience,943,45.191239,25.709227,70.265111
2025,3,Bilingual,1346,47.107277,32.696562,79.154532
2025,3,Classroom Experience,15085,41.971923,22.711793,64.130593
2025,3,Outside Experience,875,46.106113,27.838524,73.268571
2025,4,Bilingual,1198,48.3631,31.772651,79.532554
2025,4,Classroom Experience,8896,43.506477,23.249632,66.121965
2025,4,Outside Experience,655,47.303738,28.110769,74.261069
2025,5,Bilingual,756,48.140374,29.764,77.15873
2025,5,Classroom Experience,2923,45.563986,26.353386,70.8091
2025,5,Outside Experience,314,48.141479,28.904153,76.493631
2025,6,Bilingual,190,46.920213,29.224599,75.189474
2025,6,Classroom Experience,276,46.510949,24.076642,70.076087
2025,6,Outside Experience,37,49.756757,29.111111,78.081081
2024,0,Bilingual,177,53.891429,35.700565,88.983051
2024,0,Classroom Experience,5922,45.632646,29.205563,73.924012
2024,0,Outside Experience,659,51.830534,33.240122,84.705615
2024,1,Bilingual,690,52.777614,34.810496,86.544928
2024,1,Classroom Experience,17907,43.035303,24.018877,66.28447
2024,1,Outside Experience,1670,49.972104,30.127108,79.290419
2024,2,Bilingual,1168,54.048866,29.661499,82.514555
2024,2,Classroom Experience,19464,46.630184,18.764496,64.578042
2024,2,Outside Experience,790,53.678663,25.346056,78.081013
2024,3,Bilingual,1317,47.833863,31.367331,76.748671
2024,3,Classroom Experience,15324,42.692912,18.794941,60.892717
2024,3,Outside Experience,689,47.476608,25.873547,72.96807
2024,4,Bilingual,1160,51.326638,29.58101,79.937931
2024,4,Classroom Experience,8055,44.693094,20.297551,64.113594
2024,4,Outside Experience,651,49.950233,26.353303,75.689708
2024,5,Bilingual,773,47.421813,27.530799,73.860285
2024,5,Classroom Experience,2523,45.269951,20.696728,64.62505
2024,5,Outside Experience,222,49.37156,24.972727,73.22973
2024,6,Bilingual,149,45.666667,28.013423,73.067114
2024,6,Classroom Experience,267,45.85283,22.554307,68.06367
2024,6,Outside Experience,23,46.227273,21.391304,65.608696
2023,0,Bilingual,192,58.106952,30.773684,87.046875
2023,0,Classroom Experience,5668,48.671959,24.07884,72.171665
2023,0,Outside Experience,739,54.752044,26.943166,81.324763
2023,1,Bilingual,966,57.741834,29.770984,86.465839
2023,1,Classroom Experience,19802,48.841659,19.909319,67.651146
2023,1,Outside Experience,1585,55.123888,24.519292,79.198738
2023,2,Bilingual,1366,57.977679,29.210177,86.040264
2023,2,Classroom Experience,18963,50.556048,18.41502,68.30491
2023,2,Outside Experience,868,56.795082,25.611369,81.313364
2023,3,Bilingual,1420,55.81392,28.203246,83.485915
2023,3,Classroom Experience,14109,50.201851,17.541397,67.050606
2023,3,Outside Experience,775,56.103761,24.02458,79.776774
2023,4,Bilingual,1097,56.186456,26.977064,82.018232
2023,4,Classroom Experience,7423,50.920865,17.650757,67.691095
2023,4,Outside Experience,476,56.653277,23.943158,80.189076
2023,5,Bilingual,573,51.220826,23.809441,73.558464
2023,5,Classroom Experience,2424,47.082917,17.914215,64.44967
2023,5,Outside Experience,227,52.389381,21.057778,73.030837
2023,6,Bilingual,116,52.482456,25.017544,76.163793
2023,6,Classroom Experience,229,51.352423,19.190265,69.842795
2023,6,Outside Experience,32,53.09375,21.935484,74.34375
